,userId,,company,,role,,location,,startDate,,endDate,
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Name_Beer,"','",Meembee,"','",Office Assistant II,"','",Nyazura,"','",11/27/1929,"','",12/19/1923,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Alicia.Hettinger,"','",Dynazzy,"','",GIS Technical Architect,"','",Energeticheskiy,"','",3/6/2002,"','",12/10/2004,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lew,"','",Brightbean,"','",Database Administrator IV,"','",Xilong,"','",12/28/1937,"','",8/31/1997,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Estell,"','",Divanoodle,"','",Staff Scientist,"','",Chengcun,"','",6/15/1922,"','",1/19/1944,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Filomena,"','",Wordify,"','",Marketing Manager,"','",Georgetown,"','",5/25/1913,"','",11/26/1965,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Murphy,"','",Meedoo,"','",VP Accounting,"','",Yono,"','",1/25/1914,"','",4/16/1989,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Saul,"','",Flashset,"','",Human Resources Manager,"','",Xinminxiang,"','",5/13/1924,"','",12/27/1938,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Eulalia,"','",Miboo,"','",Financial Analyst,"','",Luxi,"','",11/10/1974,"','",1/5/1959,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Liliane,"','",Yata,"','",Assistant Media Planner,"','",Shenzhong,"','",12/19/1979,"','",4/6/1979,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Ilene_Yost,"','",Mydeo,"','",Statistician II,"','",Tyoply Stan,"','",12/28/2003,"','",3/18/1994,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Beulah,"','",Jayo,"','",Community Outreach Specialist,"','",Kumla,"','",10/29/1955,"','",2/10/1997,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Ryan,"','",Skyvu,"','",Data Coordiator,"','",Ta Khmau,"','",10/3/1913,"','",8/24/2009,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Elinore,"','",Yodo,"','",Financial Analyst,"','",Coronda,"','",9/3/1939,"','",11/12/1997,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Erick.Boyle,"','",Tazzy,"','",Recruiting Manager,"','",Tyoply Stan,"','",3/12/1950,"','",2/19/1929,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Alverta.Daniel,"','",Browsecat,"','",Social Worker,"','",Kanashevo,"','",5/23/1960,"','",6/4/1949,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Adolf_Wiza,"','",Yakijo,"','",Project Manager,"','",Paya Dapur,"','",3/29/1974,"','",9/24/1912,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lesly_Reilly,"','",Skipfire,"','",Design Engineer,"','",Huangbei,"','",4/18/1961,"','",10/28/1953,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Sherman,"','",Livetube,"','",Associate Professor,"','",Houyu,"','",6/7/1996,"','",3/19/2005,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Hank,"','",Oyonder,"','",Compensation Analyst,"','",Tyoply Stan,"','",12/23/1985,"','",12/3/2005,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Araceli_Glover,"','",Browsezoom,"','",Help Desk Operator,"','",Betong,"','",5/24/1983,"','",10/20/1981,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Judy,"','",Gigashots,"','",Dental Hygienist,"','",Tim,"','",9/12/1915,"','",4/6/1997,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Alvina,"','",Topicblab,"','",Web Designer III,"','",Xike,"','",4/14/1944,"','",7/12/1998,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Heath_Block,"','",Livetube,"','",Legal Assistant,"','",Mikhaylovka,"','",10/8/2000,"','",6/6/1948,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Karen_Dickens,"','",Trilith,"','",Nuclear Power Engineer,"','",Ayapel,"','",11/14/1937,"','",6/17/1943,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Dayne.Crona,"','",Zoomcast,"','",General Manager,"','",Uzunovo,"','",9/13/1947,"','",7/5/1974,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kamren.Lesch,"','",Myworks,"','",Project Manager,"','",Llano Largo,"','",3/25/2008,"','",7/13/2004,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Adell.Lueilwitz,"','",Kazu,"','",Programmer Analyst II,"','",Tyoply Stan,"','",6/14/1978,"','",1/28/1987,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Aiden,"','",Janyx,"','",Account Coordinator,"','",Cilegi,"','",6/29/1960,"','",12/7/1944,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Stella,"','",Eadel,"','",Geologist III,"','",Sinacaban,"','",3/10/1975,"','",6/3/2008,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Keith,"','",Devcast,"','",Executive Secretary,"','",Sidareja,"','",11/4/1961,"','",7/29/1928,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Virgie_Mann,"','",Oyonder,"','",Sales Representative,"','",Tyoply Stan,"','",2/4/1941,"','",5/9/1978,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Angela,"','",Skajo,"','",Pharmacist,"','",Seattle,"','",11/7/1984,"','",8/18/2002,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Gianni,"','",Flipopia,"','",Research Nurse,"','",Pag,"','",4/18/1968,"','",10/28/1910,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Garnet.Koss,"','",Tagpad,"','",Human Resources Manager,"','",Tyoply Stan,"','",12/4/1971,"','",8/3/1964,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jakayla,"','",Buzzshare,"','",Programmer Analyst II,"','",Xincheng,"','",11/15/1931,"','",9/30/2004,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Teresa.Huel,"','",Tagpad,"','",Desktop Support Technician,"','",Yermolayevo,"','",8/19/1918,"','",12/29/2013,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Zita_Rogahn,"','",Topdrive,"','",Speech Pathologist,"','",Ochakiv,"','",12/18/1994,"','",7/8/1953,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Laurence.Rath,"','",Bluezoom,"','",Assistant Manager,"','",Runjin,"','",12/4/1949,"','",5/14/1913,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jay.Bahringer,"','",Livetube,"','",Sales Associate,"','",Prado Siongco,"','",6/25/1968,"','",8/21/1939,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Carlee,"','",Camimbo,"','",Staff Scientist,"','",Mentaraman Satu,"','",1/2/1964,"','",4/30/1926,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Nia.Tremblay,"','",Fanoodle,"','",Data Coordiator,"','",Saint-Avold,"','",3/29/1917,"','",8/18/1949,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Nikko,"','",Wikido,"','",Media Manager III,"','",Kuala Lumpur,"','",5/27/1930,"','",4/23/1953,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Hellen,"','",Babbleblab,"','",Programmer I,"','",Zhirnovsk,"','",7/19/1921,"','",7/27/2003,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Braulio,"','",Skaboo,"','",Administrative Assistant II,"','",Changtang,"','",10/18/1974,"','",4/22/2013,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Heber_Flatley,"','",Photolist,"','",Software Consultant,"','",Oganlima,"','",9/23/1946,"','",12/11/1925,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Araceli,"','",Gabspot,"','",Technical Writer,"','",Bendosari,"','",6/5/1915,"','",4/10/2012,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Micaela.Littel,"','",Browseblab,"','",Project Manager,"','",Tyoply Stan,"','",4/9/1922,"','",9/24/1969,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Taylor,"','",Ozu,"','",Teacher,"','",Himeville,"','",10/5/1936,"','",9/6/1920,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Destini,"','",Jabberstorm,"','",Systems Administrator IV,"','",Lomba,"','",12/27/1989,"','",1/19/1951,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Tiffany_McCullough,"','",Photofeed,"','",Senior Sales Associate,"','",Ancol,"','",7/7/2007,"','",11/8/1941,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Arch,"','",Realblab,"','",Cost Accountant,"','",Lobanovo,"','",8/31/1963,"','",6/4/1948,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Emilie,"','",Janyx,"','",Systems Administrator III,"','",Cisantri,"','",8/12/1989,"','",7/25/1925,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jasper_Sauer,"','",Feedfish,"','",Assistant Manager,"','",Calumpang,"','",6/1/1954,"','",1/16/1915,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Cassandra.Effertz,"','",Meedoo,"','",Automation Specialist III,"','",Asker,"','",7/31/1949,"','",11/3/1974,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mozelle,"','",Skivee,"','",Marketing Assistant,"','",Ariz,"','",11/8/1964,"','",7/23/1992,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Earlene.Deckow,"','",Innotype,"','",Electrical Engineer,"','",Tyoply Stan,"','",1/5/1980,"','",6/4/1933,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Arno,"','",Shufflebeat,"','",Project Manager,"','",Irricana,"','",2/12/1975,"','",9/27/1957,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Retha,"','",Yakijo,"','",VP Marketing,"','",Guantun,"','",3/7/1921,"','",9/9/1911,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Maida,"','",Yakitri,"','",Speech Pathologist,"','",Baguim do Monte,"','",2/3/1932,"','",8/27/1966,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kyle,"','",Yodel,"','",Web Designer III,"','",Kleszczewo,"','",10/28/1978,"','",10/10/1946,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Edythe,"','",Brainlounge,"','",Financial Advisor,"','",Oygon,"','",11/27/1999,"','",2/4/1914,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mya,"','",Twitterbeat,"','",Dental Hygienist,"','",La Soledad,"','",2/8/2006,"','",1/23/2004,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Judy,"','",Reallinks,"','",Senior Financial Analyst,"','",Redon,"','",9/26/1977,"','",4/30/1984,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Alfred,"','",Realcube,"','",Electrical Engineer,"','",Effium,"','",4/21/2002,"','",4/21/1951,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Clark.Douglas,"','",Twitterwire,"','",Community Outreach Specialist,"','",Kisangani,"','",4/4/1926,"','",1/14/1989,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Ed.Bashirian,"','",Kwilith,"','",Administrative Officer,"','",Normandin,"','",3/28/1937,"','",6/1/1955,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Holden,"','",Mynte,"','",Chief Design Engineer,"','",Tyoply Stan,"','",2/13/1912,"','",9/12/1948,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Angus,"','",Dynabox,"','",Quality Engineer,"','",Tyoply Stan,"','",3/22/1929,"','",12/10/1937,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mya_Kessler,"','",Gigazoom,"','",Nurse Practicioner,"','",Tyoply Stan,"','",5/28/1918,"','",9/1/1938,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Tate_Bruen,"','",Eadel,"','",VP Product Management,"','",El Zapote,"','",11/30/2013,"','",10/10/2005,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Zane,"','",Chatterpoint,"','",Staff Scientist,"','",Kadubetara,"','",7/17/1966,"','",6/28/1969,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Marge,"','",Innojam,"','",Developer I,"','",La Soledad,"','",1/12/2008,"','",8/30/1984,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",David,"','",Tagopia,"','",Human Resources Manager,"','",Llacanora,"','",3/6/1922,"','",1/12/1934,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Krista_Kerluke,"','",Eamia,"','",Nuclear Power Engineer,"','",Patong,"','",8/6/1997,"','",1/30/1979,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Wava.Kerluke,"','",Chatterbridge,"','",Project Manager,"','",Semang,"','",1/11/1943,"','",9/19/1935,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Georgiana.Eichmann,"','",Teklist,"','",Automation Specialist I,"','",Mutangyuan,"','",5/27/1959,"','",4/13/2014,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Darrell_Gibson,"','",Leenti,"','",Geological Engineer,"','",Ubon Ratchathani,"','",10/4/1989,"','",5/25/1937,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Emmanuel_Hammes,"','",Plajo,"','",Statistician II,"','",Anan,"','",5/27/1977,"','",9/9/1911,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Sabryna.Kessler,"','",Cogibox,"','",Civil Engineer,"','",Sipe Sipe,"','",9/7/1933,"','",2/11/1936,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Waylon,"','",Digitube,"','",Chief Design Engineer,"','",Kharp,"','",1/23/1936,"','",7/1/1917,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Cameron.Daugherty,"','",Roombo,"','",Structural Analysis Engineer,"','",Zhangjiahe,"','",7/3/1959,"','",8/2/1928,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Price.Grady,"','",Minyx,"','",Database Administrator II,"','",Tanjung Raja,"','",4/16/1956,"','",5/22/1959,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Leola,"','",Buzzdog,"','",Electrical Engineer,"','",Karangtalun,"','",4/11/1943,"','",10/12/1948,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Etha.Hammes,"','",Skinder,"','",Account Representative III,"','",La Soledad,"','",2/14/1950,"','",2/3/1915,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Amparo,"','",Brightbean,"','",Desktop Support Technician,"','",Qijiawan,"','",8/6/2012,"','",6/13/1972,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Pietro,"','",Rhynyx,"','",Safety Technician III,"','",Arraial do Cabo,"','",3/16/1951,"','",1/13/1931,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Donny,"','",Yakijo,"','",Food Chemist,"','",Licuan,"','",7/20/1936,"','",3/11/2015,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Watson.Reinger,"','",Meembee,"','",Assistant Manager,"','",Guanfang,"','",8/16/1933,"','",9/20/2003,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Maida_Kovacek,"','",Twinte,"','",Social Worker,"','",Payao,"','",6/24/1965,"','",3/23/1990,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Sienna,"','",Voonyx,"','",Project Manager,"','",La Soledad,"','",8/21/1981,"','",2/13/1934,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jessie.Kshlerin,"','",Devpulse,"','",Quality Control Specialist,"','",La Soledad,"','",7/5/2009,"','",2/26/1983,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Halle,"','",Zoovu,"','",Librarian,"','",Banjar Pangkungkarung Kangin,"','",12/26/1913,"','",10/11/2001,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Emile.Becker,"','",Eire,"','",Electrical Engineer,"','",Tabu,"','",8/1/1973,"','",6/11/1923,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Keeley,"','",Demizz,"','",Research Associate,"','",Naples,"','",9/24/1968,"','",1/13/1928,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Florencio.Olson,"','",Brainverse,"','",Director of Sales,"','",Hor,"','",4/18/1956,"','",3/9/1962,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jackie,"','",Skimia,"','",Structural Engineer,"','",Wulan Haye,"','",7/4/1937,"','",12/1/1952,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kayley_Heathcote,"','",Kare,"','",Developer III,"','",La Soledad,"','",2/29/2004,"','",9/10/1994,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Sienna.Vandervort,"','",BlogXS,"','",Accountant IV,"','",La Soledad,"','",4/12/1938,"','",1/30/1912,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Alexandra,"','",Fliptune,"','",Financial Advisor,"','",La Soledad,"','",10/25/1929,"','",12/5/1911,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Magali,"','",Jabbersphere,"','",Environmental Tech,"','",La Soledad,"','",6/19/1910,"','",7/10/2011,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Augusta.Veum,"','",Browsetype,"','",Financial Analyst,"','",Tanjungbalai,"','",5/2/1982,"','",2/26/1927,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Cynthia,"','",Myworks,"','",Financial Analyst,"','",Santa Rita Aplaya,"','",9/29/1916,"','",9/27/1942,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Gracie,"','",Thoughtworks,"','",Recruiting Manager,"','",Yasynuvata,"','",9/6/1948,"','",7/27/1915,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Prince.O''Reilly,"','",Brainsphere,"','",Librarian,"','",Yasynuvata,"','",8/20/1965,"','",6/10/1981,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Brigitte.Erdman,"','",Livetube,"','",GIS Technical Architect,"','",Kotri,"','",1/17/1940,"','",11/24/1925,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kim_Gutkowski,"','",Voomm,"','",Web Designer II,"','",Huayllati,"','",12/30/1997,"','",8/28/1910,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jaleel,"','",Livetube,"','",Nuclear Power Engineer,"','",Bafilo,"','",3/19/1912,"','",3/8/1991,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Allison.Morar,"','",Katz,"','",Programmer III,"','",Damatulan,"','",1/24/2015,"','",3/11/1914,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Anne_Stokes,"','",Jazzy,"','",Editor,"','",Baguio,"','",8/15/1920,"','",12/29/1978,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Virgil_Mills,"','",Wordpedia,"','",Community Outreach Specialist,"','",Muraloka,"','",2/18/1947,"','",6/21/1933,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Aaron,"','",Topiczoom,"','",Database Administrator III,"','",Itabaiana,"','",2/26/1935,"','",5/18/1933,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Morgan.Kerluke,"','",Flipstorm,"','",Junior Executive,"','",Yasynuvata,"','",10/29/1911,"','",1/19/1995,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Preston,"','",Skimia,"','",Environmental Tech,"','",Yasynuvata,"','",1/21/1924,"','",1/30/1991,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kali.Quitzon,"','",Fanoodle,"','",Safety Technician I,"','",Aranguren,"','",8/11/1964,"','",12/4/1999,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lewis,"','",Brainbox,"','",Dental Hygienist,"','",Jenang Selatan,"','",3/5/1992,"','",8/1/1949,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Gaylord,"','",Teklist,"','",Research Assistant III,"','",Fria,"','",3/2/2011,"','",6/28/1983,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Junius,"','",Tagcat,"','",Nurse Practicioner,"','",Castanheira,"','",3/30/1939,"','",7/25/1964,');
